Código;Descrição;Descrição complementar;Grupo;Procedência;Unid;Preço min vnd (R$);Preço vnd (R$);Custo orç;% markup;Conv vnd;Conv cpr;Peso líq unitário (kg);Peso bruto unitário (kg);Descrição do grupo;Dentro do grupo (código);Dentro do grupo (descrição);Desenho;Revisão desenho;Moeda custo;Qt/vol;Preço cmp (R$);Estocagem;IPI (%);Tipo custo;Estoque mínimo;Ponto de ressuprimento;Lote mínimo;Lote múltiplo;Origem da mercadoria;Prazo de aquisição(dias);Número da FCI;GTIN;Criado em;GTIN unid tributável;Criado por;Alterado por;CEST;Alterado em;Origem da mercadoria;Tipo contábil;NCM;Estado;Observações;Observações técnicas;Endereço de estoque padrão
T00173;ALIZAR MACIÇO SUP HASTE MAIOR ACABADO REN PRT|1100X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO SUPERIOR HDF HASTE MAIOR ACABADO - TOPO RETO;AL0201A001;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO SUPERIOR HDF HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:50;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00172;CONJUNTO ALIZAR MACIÇO SI HASTE MAIOR REN PRT|2300X70X15MM BASE 6MM REGULAGEM 65MM - TR;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MAIOR TOPO RETO;CA0101-001;Fabricado;un;;;;;;;;;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MAIOR TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:49;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00171;ALIZAR MACIÇO LAT DIR SI HASTE MAIOR ACABADO FLM IMP BCO 1099|2300X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;AL0101A001;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:42;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00170;ALIZAR MACIÇO SUP HASTE MAIOR ACABADO FLM IMP BCO 1099|1100X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO SUPERIOR HDF HASTE MAIOR ACABADO - TOPO RETO;AL0201A001;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO SUPERIOR HDF HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:42;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00169;CONJUNTO ALIZAR MACIÇO SI HASTE MAIOR FLM IMP BCO 1099|2300X70X15MM BASE 6MM REGULAGEM 65MM - TR;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MAIOR TOPO RETO;CA0101-001;Fabricado;un;;;;;;;;;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MAIOR TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:41;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00168;BATENTE SI PADRÃO ESQUERDO BRUTO 2750X125X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO BRUTO COM BORRACHA AMORTECEDORA;BT0101B002;Fabricado;un;;;;;;;;;BATENTE PADRÃO ESQUERDO SOLEIRA IMPERMEAVEL BRUTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00167;BATENTE SI PADRÃO ESQERDO RECOBERTO PET BCO MAX|2750X125X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO RECOBERTO COM BORRACHA AMORTECEDORA;BT0101R002;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO C/B RECOBERTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00166;BATENTE SI PADRÃO ESQUERDO ACABADO PET BCO MAX|2300X125X28MM CANAL 3MM C/B-TR;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO ACABADO COM BORRACHA AMORTECEDORA E TOPO RETO;BT0101A002;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO C/B TR ACABADO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00165;PEITO BATENTE PADRÃO SI 2750X86X9MM;;015CBT;Fabricado;PC;;;;;;;;;PEITO PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00164;CHAPA MISTA MDF+PVC 2750X1850X18MM;;016CBT;Fabricado;PC;;;;;;;;;CHAPA MISTA MDF+PVC 18MM;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00163;BASE BATENTE PADRÃO SI 2750X126X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00162;BATENTE SI PADRÃO DIREITO BRUTO 2750X125X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO DIREITO BRUTO COM BORRACHA AMORTECEDORA;BT0101B001;Fabricado;un;;;;;;;;;BATENTE PADRÃO DIREITO SOLEIRA IMPERMEAVEL BRUTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00161;BATENTE SI PADRÃO DIREITO RECOBERTO PET BCO MAX|2750X125X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO DIREITO RECOBERTO COM BORRACHA AMORTECEDORA;BT0101R001;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO DIREITO C/B RECOBERTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00160;BATENTE SI PADRÃO DIREITO ACABADO PET BCO MAX|2300X125X28MM CANAL 3MM C/B-TR;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO DIREITO ACABADO COM BORRACHA AMORTECEDORA E TOPO RETO;BT0101A001;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO DIREITO C/B TR ACABADO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
